course_id,rate,date,comment,user_id
27,2.0,2022-08-19,Questions look like copied from other sources. Spelling mistakes. Poor coverage. Waste of money.,1
12,5.0,2022-02-23,"Excelente ,muy practico y facil de aprender",2
35,2.0,2022-10-06,These are very basics suitable for school students,3
29,5.0,2022-08-16,"Great course. This have everything I was looking for. However I think audio quality could have been a bit better, and also it required some more smooth delivery in vocals, but still, when you are concentrated it really doesn't bothers. If you are beginner in Blender, and you do know your way around interface, worked on few projects, I think this is a good course to go for.",4
5,5.0,2022-01-09,Loved the case study on the Farm to Table marketplace from Indiana. Thanks for sharing.,5
5,5.0,2022-01-13,"As Section 3 says, how long can you keep dreaming? Very inspirational stories shared by Sramana. Thanks!!",6
5,5.0,2022-01-27,Lessons from the trenches! Great case study based approach.,7
5,5.0,2022-10-17,Must learn,8
23,4.0,2022-05-14,otimo!,9
21,5.0,2022-04-12,Great lecture,10
21,4.0,2022-04-24,Excellent,11
8,4.0,2022-03-09,"It was alright ,good n=introduction for writing the macro - could include a copy/ paste macro as i think that would be pretty helpful 

Thanks forthe course!",12
6,5.0,2022-04-20,It was a really great course. Very detailed and beneficial.,13
6,4.0,2022-06-07,This course was very good. Highly recommended,14
34,5.0,2022-09-20,I'm learning more,15
34,5.0,2022-10-15,I have always known Fiverr but didn't know I can become a millionaire out of it. Thanks for informative course,16
34,5.0,2022-10-19,I have learned a lot from this course. thank you!,17
28,5.0,2022-07-16,"Illustrations and animations are a better way of scientific communication; when it comes to 3-D, the output triples!. Being a doctoral researcher in the Clinical field, this course in blender will further my skills to communicate my scientific perspectives as an illustration or animation. Presenting eye-catching novel ideas can advance my value in the scientific community. Coming to the tutor, Mr. Rafeeque Mavoor is a highly skilled scientific illustrator, and his expertise in the field is well reflected throughout the course. I believe this course will be helpful to anyone in the science stream to improve your communication skills in the form of illustrations.",18
28,4.0,2022-09-24,nice tutorials,19
2,4.0,2022-09-27,"It's really good to have these basics down under your belt. For me, it was a quick revision. Good stuff for beginners.",20
24,5.0,2022-09-01,Its worth your time and money,21
30,5.0,2022-08-09,"For a free course this is great, well delivered and explained",22
30,5.0,2022-08-11,Good!,23
13,5.0,2022-03-05,GOOD,24
13,5.0,2022-07-17,"very informative, I would recommend it to anyone looking to start their Freight business.",25
20,5.0,2022-05-07,He is brilliant trainer,26
32,5.0,2022-09-14,"Ma che bella sorpresa avere la sensazione di essere li col docente! Davvero un format particolare, non vedo l'ora di fare anche io la mia passeggiata fotografica!",27
32,5.0,2022-09-21,Interessanti spunti direttamente sul campo: molto apprezzati,28
26,5.0,2022-07-06,very nice course!i am learning many new tricks!continue the good work!very much  thank you!,29
26,5.0,2022-07-07,The course is very well made and the instructor really teaches very well and I'm learning a lot of tricks and information.,30
25,5.0,2022-06-18,"Amazing Course :) 
Strongly recommended......",31
25,5.0,2022-07-07,very informative and easy to understand... thumbs up!!!,32
25,4.0,2022-07-09,I think this course is helpful because Japan has the problem of a declining birthrate.,33
25,4.0,2022-08-12,a lot of inormason,34
25,5.0,2022-08-18,I thought this course is very helpful for new babysitters,35
25,5.0,2022-09-10,If you are new baby sitter you must join this course,36
22,4.0,2022-04-12,Awesome course to learn solidity in short time.,37
22,5.0,2022-05-05,"It's amazing how easy it can be to understand blockchain development for people who are totally new to the topic. Such crisp and clear information. 
Waiting for more to come",38
14,3.0,2022-05-09,devo ancora capire,39
14,5.0,2022-07-27,Un corso molto utile e Marco spiega molto bene le cose da fare nel mixaggio. Ho trovato molto utili anche le lezioni della pratica dove mostra passo per passo cosa andare a fare e come usare le informazioni spiegate in precedenza nel corso,40
14,5.0,2022-08-31,"Molto interessante, io personalmente sono interessato al mixaggio di musica classica , in particolar modo allo strumento del pianoforte a coda , pulizia del suono acquisito  etcc e possibili migliorie dello stesso senza snaturalizzare il timbro e la voce dello strumento",41
11,5.0,2022-02-08,thanks to Oak Academy,42
11,5.0,2022-02-08,very good questions,43
11,5.0,2022-05-23,It is a good way to learn with exam.,44
11,5.0,2022-05-23,Wonderful. Good questions to practice. There is a tremedous effort.,45
31,5.0,2022-09-02,"Very detailed,  thorough blueprint to answer the questions asked in an interview",46
31,5.0,2022-10-05,Excellent course. Gives me a structure and outline to think about what I can talk about for a variety of questions. The explanations seem close to what will work during Tech interviews from his past experience.,47
16,5.0,2022-06-12,"I enjoyed and easy to understand,really helpful.",48
16,5.0,2022-06-12,"Really helpful  and comprehensive   course,it has it all very well explained.",49
16,5.0,2022-06-30,"Thanks for this great course,really clear and helpful.",50
16,5.0,2022-06-30,"Excellent content and brilliant presenter.The only udemy course i sat through from the beginning to the end,well organized and engaging.",51
16,5.0,2022-06-30,"This course is very easy to follow and everything is explained in a way that makes it easy to understand,awesome course.",52
16,4.0,2022-07-29,very good course and structured,53
16,1.0,2022-09-05,In video 2 the instructor inaudibly and unintelligently teaches students to download a cracked bootleg version of AutoCAD to get around the high cost of the software! This is highly unethical! I demand a REFUND!,54
16,5.0,2022-09-15,"Very good explanation by author, really great work and excellent content...",55
16,5.0,2022-09-25,"I learned so much in this course and is very easy to listen to and learn from.Thank you for all informative information,as well as keeping the subject matter interesting.",56
16,5.0,2022-10-20,Very descriptive and made sure that I could understand what was being said!!,57
1,5.0,2022-02-15,Very good for basics,58
1,2.0,2022-05-01,"I'm not a native english speaker, and even when I'm able to hear natives talking and understand every word, in this case it was nearly impossible to do it, that accent is terrible. Sorry, but I'm dropping this course if it has that problem in all the videos. It sounds like hearing a market in a random middle-east like country",59
1,5.0,2022-05-06,It's a very good course,60
1,5.0,2022-05-12,good sir,61
1,4.0,2022-07-30,Helpful,62
10,5.0,2022-01-23,Informative,63
10,5.0,2022-07-01,i am a software developer trying to increase my exprience,64
10,3.0,2022-07-12,You have uploaded video lectures of online coaching on udemy. It would be best if you made separate lecture series for udemy audience.  Your students are asking questions during lectures and It's a kind of annoying that you haven't put effort into making this course interactive as per the criteria of udemy.,65
10,4.0,2022-09-11,Twas an explanatory class with much insights into how to work in an agile environment.,66
10,4.0,2022-10-01,Good,67
15,4.0,2022-06-09,"This course has been enlightening. I find it easy to comprehend and assimilate.
it does meet my expectations, although i wish it could be a little bit more in-depth about Compliance processes in organizations.",68
15,4.0,2022-07-13,ok,69
15,5.0,2022-08-03,Actually was.,70
15,4.0,2022-09-09,Yes it has been wonderful. But a lot can be done on the playbacks,71
15,4.0,2022-10-12,Good,72
7,5.0,2022-02-04,This is one of comprehensive affiliate marketing course I've come across,73
7,4.0,2022-03-18,good going i like it.,74
7,3.0,2022-04-02,I really struggled with his accent,75
7,4.0,2022-08-24,"Good course to take on learning affiliate marketing.
Thank's for the course.",76
4,5.0,2022-05-20,A principio esta me atendendo no que eu espero.,77
4,5.0,2022-05-24,Muito bom,78
4,5.0,2022-06-16,Detalhista e Sucinto,79
33,5.0,2022-09-28,"Excelente Curso, professor fala de forma clara e muito bem explicada.",80
33,4.0,2022-10-11,Muito bom,81
19,5.0,2022-04-20,The explanation is easy to understand. Thank you for making this course,82
19,5.0,2022-04-20,the explanation is clearly,83
19,5.0,2022-04-22,"Very useful, nice course. Thank you , sir!",84
19,5.0,2022-04-22,Absolutely perfect job. Thank you so much.,85
19,5.0,2022-05-06,Very good explanation,86
19,5.0,2022-05-30,Excellent!,87
19,5.0,2022-07-12,"By enrolled this course , not just you will learn new words.Also you will learn how to use them. It contains lots of exercises and wonderful methods.",88
19,5.0,2022-07-19,quite impressive,89
19,4.0,2022-08-15,very good teaching,90
19,4.0,2022-10-06,Mostly known words,91
18,5.0,2022-04-12,Instructor delivered a good solid explanation on the topics covered in the course. Would recommend to others.,92
18,5.0,2022-07-19,"An explicit well structured lesson in, thank",93
18,5.0,2022-07-19,A great course has many things to learn simply. Thanks!,94
18,5.0,2022-07-19,Simplified a great many things. Thank you!,95
18,5.0,2022-07-19,This course is very good. I benefited from the course. I recommend this course for everyone.,96
18,5.0,2022-07-19,Very nice course. Expect more such courses from you.,97
18,5.0,2022-07-19,Was waiting for such a perfect course on health safety for a long time. thank you,98
18,5.0,2022-07-19,Great course. Nice presentation.,99
18,5.0,2022-07-19,I like the HSE course so much and will recommend it to others.,100
18,5.0,2022-07-19,"It was a very informative course, even though it's a complete newbie, I really enjoyed it, thanks",101
18,5.0,2022-07-19,"Very informative, and an important lesson learned, thank you.",102
18,5.0,2022-07-20,The course is very informative and simple to follow.,103
18,5.0,2022-07-20,It was a great learning experience. I hope to see more courses like that in the future.,104
18,5.0,2022-07-20,I appreciated the effort.,105
18,5.0,2022-07-20,"Very good this course I have watched from lesson 1 to lesson 8, very informative topic, like it, thanks",106
18,5.0,2022-07-20,"The course is excellent for new students, and there is much to learn at HSE.",107
18,5.0,2022-07-20,"Yes, excellent overview.",108
18,5.0,2022-07-20,"Yes, it meets my expectations in terms of what I was looking for.",109
18,5.0,2022-07-20,"I love the teaching aids used and simplicity, thanks.",110
18,5.0,2022-07-20,"Yes, awesome. Great knowledge gained about health, safety and environment",111
18,5.0,2022-07-20,Very informative and nicely explained. The chapters well organized which enables us to understand.,112
18,5.0,2022-07-20,Great course. Reccomended for everyone who participates in Occupational Health or Safety Departments.,113
18,5.0,2022-07-20,yes. how it is being explained is very simple and understandable . thank you very much. excellent presentation.,114
18,5.0,2022-07-20,"The Health Safety course is awesome, I watched every lesson from start to finish, and understood, very good, so thank you.",115
18,5.0,2022-07-21,"Informative instructional course I have benefited a lot, thank you.",116
18,5.0,2022-07-21,Really awesome health safety  course. I am learn a lot. Thanks,117
18,5.0,2022-07-21,"Excellent training course, very informative and delivered at a good pace.",118
18,5.0,2022-07-21,I have won good experience by complete this course.,119
18,5.0,2022-07-21,Very nice session easy to understand.thanks you so much.,120
18,5.0,2022-07-21,Everything was clearly stated and it was easy to follow.,112
18,5.0,2022-07-21,Very nice and informative Session.,121
18,5.0,2022-07-22,Nice and Helpful course. Thanks for sharing your experience.,122
18,5.0,2022-07-22,I am really enjoyed this Health safety and environment essentials class. Thanks a lot,123
18,5.0,2022-07-23,I needed a course in Healthy safety and environment essentials course  and I am satisfied with this course. Thanks,124
18,5.0,2022-07-23,Really commendable Health safety and environment essentials course. Thanks you so much,125
18,5.0,2022-07-23,Yes. The course is very well packaged and far surpassed my expectations.,126
18,5.0,2022-07-23,A concise overview of how to create and manage HS. Provides a working system as well as a toolkit for use.,127
18,5.0,2022-07-24,I loved the course very much and must recommend to others. Thanks!,128
18,5.0,2022-07-24,Great course with valuable information. Thanks for sharing.,129
18,5.0,2022-07-24,Really Very Details  Health Safety and Environment Essentials udemy course. I am enjoying! Thanks a lot,130
18,5.0,2022-07-24,Excellent!  Fantastic Course. I am really enjoying this course. Thanks a lot!,131
18,5.0,2022-08-24,I love the fact that it's so informative and I feel I can use it in everyday life.,132
17,5.0,2022-09-04,Explained very important concepts in Python and other required  knowledge so that I can realize easily!,133
3,5.0,2022-01-10,Curso muito top!,134
3,3.0,2022-08-02,Quero aprender o conhecimento do TypeScript e tenho interesse do conteudo!,135
3,4.0,2022-08-18,Curso Atualizado! muito bom.,136
3,3.0,2022-10-06,ainda estarei analisando durante o curso,137
9,5.0,2022-03-04,"I'm very glad that I enrolled. I've already learned so much about Solana development, and I'm finally starting to understand what people mean when they talk about technologies like Web3/dapp etc. 

It's also useful that you learn a variety of ways to develop. You can develop from scratch, or with Rust, or with the terminal, or with JavaScript, or with certain Solana libraries like Metaplex, and Arjun covers all these different techniques in the course so you have a toolkit.

I'm hoping to pick up a blockchain developer gig in either Eithereum or Solana, and I'm thankful this course has given me the knowledge I need for Solana.",138
9,5.0,2022-03-13,"Very useful, thank you very much!",139
9,5.0,2022-03-19,"So far, it's been really nice. The instructor keeps things smooth,",140
